学校,年级,学院,专业,专业方向_路径,培养方案标题,专业代码,源文件,Markdown文件,培养目标概括,主要能力要求概括,核心课程概括,培养特色概括,学制与学位概括,专业主键,专业别名
首都经济贸易大学,2023级,工商管理学院,工商管理（国际商务）,工商管理（国际商务）,工商管理（国际商务）专业本科人才培养方案,,2023级/2工商管理学院/2023级培养方案/工商管理（国际商务）/工商管理（国际商务）1-6.docx,01_Markdown培养方案/2023级/2工商管理学院/2023级培养方案/工商管理（国际商务）/工商管理（国际商务）1-6.md,本专业以立德树人为根本，秉承“厚德精业，守正出新”的价值观，肩负“植根管理实践，探索商学前沿，培养卓越商才，服务社会发展”的使命，坚持“三全育人”，推进思政育人与专业育人同向同行，培养具有社会主义核心价值观，适应现代经济和社会发展需要，德智体美劳全面发展，掌握现代管理理论与管理方法、具备良好的专业知识综合素养、具备国际贸易和电子商务管理能力，适应经济全球化发展需要，通晓国际商务发展动向与前沿，掌握国际商务理论知识及实践技能，谙熟国际经济法规和商务惯例，具有良好的国际视野与战略眼光、较强的商务实践能力、创新创业能力以及团队合作能力，以国际化、实践型为突出特征的高层次复合型国际商务人才。,1．掌握马克思主义、毛泽东思想和中国特色社会主义理论体系；2.系统掌握从事国际商务工作所需要的管理学、营销学、经济学、贸易学、金融学等方面的基本知识和基本技能，具备良好的学习能力、分析与解决实际问题的能力，具备较强的商务谈判技能、企业管理与市场营销技能；3.具有较好的语言与文字表达能力，熟练应用一门外国语，能够使用书面和口头表达方式与国内外业界同行、社会公众就本专业领域现象和问题进行有效沟通与交流；4.能够熟练运用计算机和管理实务方面的应用软件，对商务以及市场数据信息进行收集和分析处理，能够迅速适应实际工作岗位的要求；5.具有较强社会适应能力和学习能力，具有自主学习和终身学习意识,国际商务、国际市场营销、国际零售管理、商务谈判、经济学原理、国际商法（双语）、国际贸易、国际金融学（双语）、国际物流、消费者行为学（双语）、国际税收（双语）、国际结算（双语）、客户关系管理（英语）、国际商务礼仪、统计学、会计学、财务管理学、运营管理、企业资源规划（ERP）、供应链管理等。,1.突出国际化商务人才培养；2.突出跨学科复合型人才培养；3.注重学生实践创新能力的培养；4．突出现代国际商务特色,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予管理学学士学位。,CUEB-2023-021,工商管理（国际商务）
首都经济贸易大学,2023级,工商管理学院,工商管理（实验班）,工商管理（实验班）,工商管理专业（实验班）本科人才培养方案,120201K,2023级/2工商管理学院/2023级培养方案/工商管理（实验班）/工商管理（实验班）-1-6部分.docx,01_Markdown培养方案/2023级/2工商管理学院/2023级培养方案/工商管理（实验班）/工商管理（实验班）-1-6部分.md,本专业以立德树人为根本，秉承“厚德精业，守正出新”的价值观，肩负“植根管理实践，探索商学前沿，培养卓越商才，服务社会发展”的使命，坚持“三全育人”，推进思政育人与专业育人同向同行，培养具有社会主义核心价值观，适应现代经济和社会发展需要，德智体美劳全面发展，掌握现代管理理论与管理方法、具备良好的专业知识综合素养、具有较强科学研究能力，开阔的国际化视野，适应进一步学习深造需要的综合素质优秀或基础学科拔尖的人才。 1. 毕业要求 1. 掌握马克思主义、毛泽东思想和中国特色社会主义理论体系；具有良好的思想品德、社会公德、职业道德和个人修养；具有爱岗敬业、遵纪守法和团结合作的品质；具有为国家富强、民族昌盛而奋斗的志向和责任感。 2. 系统掌握经济与管理学科的基础知识和企业管理的基本理论与方法，掌握企业管理的规律和特点…,nan,管理学、微观经济学、创新管理、会计学、财务管理、市场营销、组织行为学、人力资源管理、企业战略管理、运营管理、管理学研究方法、管理学经典文献导读、程序设计语言（Python）、统计学、跨国公司管理、公司治理、计量经济学、管理心理学。,1.按照高水平拔尖人才的培养规律，着重加强对学生理论能力与研究方法的长线训练；2.实验班培养，实行单独编班；3.实行导师制、小班化等培养模式；4.注重学生创新创业能力的培养,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予管理学学士学位。,CUEB-2023-022,工商管理（实验班）
首都经济贸易大学,2023级,工商管理学院,市场营销,市场营销,市场营销专业本科人才培养方案,,2023级/2工商管理学院/2023级培养方案/市场营销/市场营销1-6.docx,01_Markdown培养方案/2023级/2工商管理学院/2023级培养方案/市场营销/市场营销1-6.md,本专业以立德树人为根本，秉承“厚德精业，守正出新”的价值观，肩负“植根管理实践，探索商学前沿，培养卓越商才，服务社会发展”的使命，坚持“三全育人”，推进思政育人与专业育人同向同行，培养具有社会主义核心价值观，适应现代经济和社会发展需要，德智体美劳全面发展，掌握现代管理理论与管理方法、具备良好的专业知识综合素养、具有较强的逻辑分析和创新创业能力以及开阔的国际化视野，适应进一步学习深造的需要，或在企、事业单位和政府部门中从事管理与相关领域科研岗位工作的应用型、复合型营销管理人才。,1．掌握马克思主义、毛泽东思想和中国特色社会主义理论体系；2.系统掌握经济与管理学科的基础知识和市场营销的基本理论与方法，掌握企业管理的规律和特点，能够将所学知识用于解释、分析和评价企业市场营销实践中的具体现象和问题，并能够形成解决方案；3.具有较好的语言与文字表达能力，熟练应用一门外国语，能够使用书面和口头表达方式与国内外业界同行、社会公众就本专业领域现象和问题进行有效沟通与交流；4.能够熟练运用计算机和管理实务方面的应用软件，对市场营销专业领域数据信息进行收集和分析处理，能够迅速适应实际工作岗位的要求；5.具有较强社会适应能力和学习能力，具有自主学习和终身学习意识,管理学、经济学原理、市场营销学、消费者行为学（双语）、品牌管理、国际市场营销（英语）、服务营销、客户关系管理、商务谈判、管理决策模拟、商务分析、公共关系学、统计学、财务管理学、会计学、运营管理、电子商务、企业资源规划（ERP）、供应链管理、组织行为学（双语）、企业战略管理等。,1．基于需求导向的应用型、复合型培养目标定位；2．突出国际化营销人才培养；3.注重学生商务分析和实践创新能力的培养；4．突出现代服务业市场营销特色,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予管理学学士学位。,CUEB-2023-023,市场营销
首都经济贸易大学,2023级,工商管理学院,旅游管理,旅游管理,旅游管理专业本科人才培养方案,120901K,2023级/2工商管理学院/2023级培养方案/旅游管理/旅游管理1-6.docx,01_Markdown培养方案/2023级/2工商管理学院/2023级培养方案/旅游管理/旅游管理1-6.md,nan,1.掌握马克思主义、毛泽东思想和习近平新时代中国特色社会主义思想；2.掌握通识教育类、学科基础类、专业基础类、专业类知识及相关学科知识，并能将所学知识用于解释本专业领域及相关领域的现象和问题，了解旅游管理学科发展前沿，具有国际视野；3.具有扎实的从事旅游管理、旅游策划的基本能力；4.具有较好的语言与文字表达能力，熟练应用一门外国语，能够使用书面和口头表达方式与国内外业界同行、社会公众就本专业领域现象和问题进行有效沟通与交流；5.能够熟练运用计算机和管理实务方面的应用软件，对旅游管理专业领域信息进行收集和数据分析处理，能够迅速适应实际工作岗位的要求，具有良好的团队合作能力,经济学原理、管理学、市场营销学、财务管理、金融学、统计学、战略管理、创新管理、组织行为学（双语）、消费者行为学（双语）、旅游学、高端旅游与市场、旅游大数据与智慧旅游、旅游规划、旅游景区运营与管理、国际酒店管理、会奖旅游与策划。,旅游管理专业始终坚持“根植实践、面向国际、突破创新”的思路，构建“以行业需求为导向、以产学研相结合为途径、以培养实践创新能力为重点”的旅游管理专业办学理念。 一是切实落实“根植实践”的培养理念。根植于中国旅游发展所短缺的高端旅游与目的地营销、旅游大数据分析与智慧旅游、旅游规划与景区管理等实践领域，注重职业能力培养，突出宽口径，构建一体化的知识结构，将教与学、学与研、社会实践与就业目标有效地结合在一起。 二是积极探索“面向国际”的培养路径。秉承国际化视野，积极借鉴国际一流旅游院校的培养理念和国内出色的国际化合作旅游院校的成功经验，探索旅游管理国际化人才的培养路径。 三是注重学生实践创新能力的培养。立足工商管理学院和学校其他相关院系的优质资源，坚持课堂教学与实践教学相结合；案例教学与理论教学相结合；校内实训和校外实习基地相结合的人才培养方法，加强对学生实践能力和创新能力的培养。,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予管理学学士学位。,CUEB-2023-024,旅游管理
首都经济贸易大学,2023级,工商管理学院,物流管理,物流管理,物流管理专业本科人才培养方案,120601,2023级/2工商管理学院/2023级培养方案/物流管理/物流专业1-6.docx,01_Markdown培养方案/2023级/2工商管理学院/2023级培养方案/物流管理/物流专业1-6.md,本专业以立德树人为根本，秉承“厚德精业，守正出新”的价值观，肩负“植根管理实践，探索商学前沿，培养卓越商才，服务社会发展”的使命，坚持“三全育人”，推进思政育人与专业育人同向同行，培养具有社会主义核心价值观，适应现代经济和社会发展需要，德智体美劳全面发展，掌握现代管理理论与管理方法，理论基础扎实、知识结构合理、人文素养高、具有较强的实践能力和创新创业能力以及开阔的国际化视野，具备物流实务运作能力和跨组织的供应链协调能力，在相关领域有较大发展潜力的高级应用型和复合型人才。,1、掌握通识教育类、学科基础类、专业类知识及相关学科知识，并能将所学知识用于解释本专业领域及相关领域的现象和问题，了解本学科发展前沿，具有国际视野；2、能够应用本学科基本原理、方法对本专业领域及相关领域问题进行判断、分析和研究，提出相应对策和建议，并形成解决方案；3、能够恰当使用现代工具，对本专业领域数据信息进行收集和分析处理，完成所从事的专业领域任务；4、能够使用书面和口头表达方式与国内外业界同行、社会公众就本专业领域现象和问题进行有效沟通与交流；5、具有团队协作意识，能够在本学科及多学科团队活动中发挥个人能力，并能与其他成员进行协作,供应链管理、运营管理、运筹学、物流管理、物流运作管理、采购管理、智慧供应链、供应链金融、国际物流、质量管理、物流经济学。 主要专业实验：物流管理与运作实验、供应链系统仿真实验、供应链金融、智慧供应链,1.需求导向的应用型、复合型人才培养定位；2.学科导向与能力导相相结合的课程体系设置；3.注重学生实践创新能力的培养；4．立足实际需求培养管理人才,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予管理学学士学位。,CUEB-2023-025,物流管理
首都经济贸易大学,2023级,工商管理学院,电子商务,电子商务,电子商务专业本科人才培养方案,120801,2023级/2工商管理学院/2023级培养方案/电子商务/电子商务专业 1-6.docx,01_Markdown培养方案/2023级/2工商管理学院/2023级培养方案/电子商务/电子商务专业 1-6.md,本专业以立德树人为根本，秉承 “厚德精业，守正出新”的价值观，坚持“三全育人”，推进思政育人与专业育人同向同行。培养具有社会主义核心价值观，适应现代经济与社会发展需要，德智体美劳全面发展，掌握现代管理理论与管理方法、计算机科学、统计学等相关领域专业知识和基本技能的卓越商才。同时，还应具有互联网思维、国际化视野、创新思维和创业精神以及较强实践能力，能在各类企事业单位及政府部门从事数据挖掘与分析、数字化运营与咨询、电子商务规划与设计等相关工作，具有较大发展潜力的应用型、复合型高级专业人才。,（1）掌握通识教育类、学科基础类、专业类知识及相关学科知识，并能将所学知识用于解释本专业领域及相关领域的现象和问题，了解本学科发展前沿，具有国际视野； （2）能够系统应用管理学、经济学以及计算机科学的基本原理和方法对本专业领域及相关领域问题进行判断、分析和研究，提出相应对策和建议，并形成解决方案； （3）能够恰当使用现代工具，对本专业领域数据信息进行收集和分析处理，完成所从事的专业领域任务； （4）能够使用书面和口头表达方式与国内外业界同行、社会公众就本专业领域现象和问题进行有效沟通与交流； （5）具有团队协作意识，能够在本学科及多学科团队活动中发挥个人能力，并能与其他成员进行协作； （6）具有自主学习和终身学习意识，有创新创业能力及不断学习与适应发展的能力； （7）具有人文素养、科学精神和社会责任感，熟悉本专业领域相关政策及法律、法规，能够在本专业领域实践活动中理解并遵守职业道德和职业规范。,管理学、经济学原理、财务管理学、统计学、会计学、市场营销学、运营管理、运营管理、创新管理、管理决策模拟、组织行为学（双语）、消费者行为学（双语）、企业战略管理、人力资源管理、电子商务、企业资源规划(ERP)、供应链管理、商务智能理论与应用、互联网商务模式与创新、电子商务技术基础、电子商务网络技术、电子商务网站规划与设计、数据库原理与应用、客户关系管理、大数据商务分析与应用等。,1.进行管理学与计算机科学交叉培养；2．聚焦数字经济环境下的智能商务需求；3.重视实践能力,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予管理学学士学位。,CUEB-2023-026,电子商务
首都经济贸易大学,2023级,经济学院,国际经济与贸易,国际经济与贸易,国际经济与贸易专业本科人才培养方案,020401,2023级/3经济学院/国际经济与贸易/国际经济与贸易1-6.docx,01_Markdown培养方案/2023级/3经济学院/国际经济与贸易/国际经济与贸易1-6.md,本专业培养具有社会主义核心价值观以及规范使用语言文字的意识和能力，系统掌握马克思主义经济学基本原理和国际经济贸易相关理论和方法，能够正确认识和理解国内外经济与贸易发展规律和运行机制，具有国际视野、开拓创新精神和实践能力，并具有较高的外语水平和一定的国际交流能力，能够在政府机关、各类经济部门、科研机构、高等院校从事经济理论与政策研究、经济分析和涉外经济实务工作的高素质应用型、复合型人才。,2.掌握马克思主义、毛泽东思想、邓小平理论和中国特色社会主义理论体系，牢固树立社会主义核心价值观；3.系统掌握国际经济、国际贸易、国际商务方面的知识和基本技能，熟悉通行的国际贸易惯例、法规及工作流程；4.具有较深厚的人文、社会和科学素养，较宽的知识面和较合理的知识结构；5.具有宽广的国际视野，熟练掌握一门外语，具备一定的国际沟通能力；6.了解本学科发展动态，具备分析和解决本专业实际问题的能力,政治经济学（资本主义）、微观经济学、宏观经济学、金融学、计量经济学、会计学、统计学、产业经济学、财政学、国际经济学（双语）、中国对外贸易、国际贸易、国际贸易实务（双语）、国际金融学（双语）、国际商法（双语）、国际市场营销、国际商务（英语）等。,1．注重扎实的经济理论基础培养；2．强调知识结构的广度、深度和合理性；3．注重培养学生的国际交流能力；4．强化综合能力培养,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予经济学学士学位。,CUEB-2023-027,国际经济与贸易
首都经济贸易大学,2023级,经济学院,国际经济与贸易（国际班）,国际经济与贸易（国际班）,国际经济与贸易专业（国际班）本科人才培养方案,020401,2023级/3经济学院/国际经济与贸易（国际班）/国际经济与贸易（国际班）1-6.docx,01_Markdown培养方案/2023级/3经济学院/国际经济与贸易（国际班）/国际经济与贸易（国际班）1-6.md,本专业培养具有社会主义核心价值观以及规范使用语言文字的意识和能力，系统掌握马克思主义经济学的基本原理和国际经济贸易相关理论和方法，能够正确认识和理解国内外经济与贸易发展规律和运行机制，具有国际视野、开拓创新精神和实践能力，并具有较高的外语水平和良好的国际交流能力，能够在政府机关、各类经济部门、科研机构、高等院校从事经济理论与政策研究、经济分析和涉外经济实务工作的高素质应用型、复合型人才。,1.系统掌握马克思主义、毛泽东思想、邓小平理论和中国特色社会主义理论体系，牢固树立社会主义核心价值观；2.系统掌握国际经济、国际贸易、国际商务方面的知识和基本技能，熟悉通行的国际贸易惯例、法规及工作流程；3.具有较深厚的人文、社会和科学素养，较宽的知识面和较合理的知识结构；4.具有宽广的国际视野，熟练掌握一门外语，具备良好的国际沟通能力；5.了解本学科发展动态，具备分析和解决本专业实际问题的能力,政治经济学（资本主义）、微观经济学、宏观经济学、金融学、计量经济学、会计学、统计学、财政学、产业经济学、国际经济学（双语）、国际贸易（英语）、国际贸易实务（英语）、国际金融学（英语）、国际商法（英语）、国际市场营销、跨境电子商务（英语）、国际商务（英语）、中国商务环境（英语）等。,1．注重扎实的经济理论基础培养；2．强调知识结构的广度、深度和合理性；3．注重培养学生的国际交流能力；4．强调综合能力培养,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予经济学学士学位。,CUEB-2023-028,国际经济与贸易（国际班）
首都经济贸易大学,2023级,经济学院,经济学,经济学,ADDIN CNKISM.UserStyle经济学专业本科人才培养方案,020101,2023级/3经济学院/经济学/经济学1-6.doc,01_Markdown培养方案/2023级/3经济学院/经济学/经济学1-6.md,本专业培养具有社会主义核心价值观以及规范使用语言文字的意识和应用能力，具有马克思主义经济学和现代西方经济学理论素养，专业基础扎实，知识面宽广，外语水平高，具有向经济学相关领域扩展渗透的能力、熟练应用外语的能力、熟练应用现代经济分析方法和技术手段的能力，能够在国内外大学继续深造，或者在政府机构、各类经济部门、高校和科研机构从事经济理论研究、经济政策研究、经济分析和其他实际经济工作的高素质复合型人才。,"1.掌握马克思主义、毛泽东思想、中国特色社会主义理论和习近平新时代中国特色社会主义思想；2．系统掌握政治经济学、西方经济学、经济思想史、经济史方面的理论，熟悉计量经济学、宏观经济分析中的基本工具软件的应用；3.能够应用本学科基本原理、方法对本专业领域及相关领域问题进行判断、分析和研究，提出相应的对策和建议,并形成解决方案；4.能够恰当使用现代工具，对本专业领域的问题进行深入研究，完成所从事的专业领域任务；5.能够使用书面和口头表达方式与国内外同行及社会公众就本专业领域现象和问题进行有效沟通和交流",政治经济学、微观经济学、宏观经济学、中级微观经济学、中级宏观经济学、金融学、计量经济学、统计学、财政学、经济思想史、欧美经济史、中国特色社会主义政治经济学、国际经济学（双语）、产业经济学等。,1．强调高素质复合型人才培养定位；2．按照学科导向与能力导向相结合的原则进行课程体系的设置；3.实现专业育人与思政育人同向同行；4．注重国际化人才培养；5．强化综合能力培养,本专业基本学制为四年，实行弹性学制，学生在校学习年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者授予经济学学士学位。,CUEB-2023-029,经济学
首都经济贸易大学,2023级,经济学院,经济学（实验班）,经济学（实验班）,经济学专业（实验班）本科人才培养方案,020101,2023级/3经济学院/经济学（实验班）/经济学（实验班）1-6.doc,01_Markdown培养方案/2023级/3经济学院/经济学（实验班）/经济学（实验班）1-6.md,本专业培养具有正确社会主义核心价值观以及规范使用语言文字的意识和应用能力，具有马克思主义经济学和现代西方经济学理论素养，知识面宽广，外语水平高，创新意识和适应能力强，具有向经济学相关领域扩展渗透的能力，熟练应用现代经济分析方法和技术手段的能力，能够在国内外大学继续深造，或者在政府机构、各类经济部门、高校和科研机构从事经济理论研究、经济政策研究、经济分析和其他实际经济工作的高素质复合型拔尖创新人才。,"1．掌握马克思主义、毛泽东思想、中国特色社会主义理论和习近平新时代中国特色社会主义思想；2．系统掌握政治经济学、西方经济学、经济思想史、经济史方面的理论，系统掌握计量经济学、宏观经济分析中的基本工具软件的应用；3．能够运用数理对经济机制建模和分析，利用定量分析工具对本专业和相关领域问题进行判断、分析和研究，提出相应的对策和建议,并形成解决方案；4．能够使用书面和口头表达方式与国内外同行及社会公众就本专业领域现象和问题进行有效沟通和交流；5．能够通过较强的社会适应能力和学习能力迅速适应实际工作岗位的要求",政治经济学、微观经济学、宏观经济学、中级微观经济学、中级宏观经济学、计量经济学、统计学、经济数学方法、博弈论、国际经济学（双语）、国际金融学（英语）、投入产出分析、经济预测、新制度经济学。,1．注重经济理论基础和数学功底的培养；2．强调现代经济分析方法和技术手段的结合；3.实现专业育人与思政育人同向同行；4．注重国际化人才培养；5．强化综合能力培养,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予经济学学士学位。,CUEB-2023-030,经济学（实验班）
首都经济贸易大学,2023级,经济学院,贸易经济,贸易经济,贸易经济专业本科人才培养方案,020402,2023级/3经济学院/贸易经济/贸易经济1-6.docx,01_Markdown培养方案/2023级/3经济学院/贸易经济/贸易经济1-6.md,贸易经济专业坚持立德树人的教育理念，秉承服务国家发展、助力首都建设、打造一流专业的发展定位，培养坚持社会主义核心价值观，具有马克思主义经济学和现代西方经济学理论素养，具备创新精神、社会责任感和跨文化沟通能力，能够在政府部门、工商企业、中介机构胜任跨国经营、跨领域管理和跨文化沟通工作的高素质、应用性、复合型经济管理人才。,1、具有正确的人生观、世界观和价值观；2、掌握马克思主义商业经济理论和西方经济学现代研究方法，善于运用经济管理理论原理和工具方法，对内外贸、商物流领域的相关问题进行分析、判断、研究和解决；3、能够立足国际视野，观察和判断宏观经济形势，理解和洞悉中观行业动向，识别和把握跨国、跨领域、跨文化的微观商业机会，适应和胜任不同场景和文化背景中的经管实践要求；4、能够发现经济运行和市场流通中的问题，并恰当使用现代研究工具和方法，收集、处理、分析数据信息，完成商务决策和解决方案；5、能够自由地通过书面或口头方式进行跨国界、跨语言、跨文化的沟通，能够规范地写作公务文档和商务文案,政治经济学、微观经济学、宏观经济学、国际经济学、计量经济学、新制度经济学、管理学、金融学、会计学、统计学、产业经济学、商业经济学、消费经济学、中国商业史、商业政策、品牌学、零售学、物流学、商业伦理学、现代商业技术、商品学、期货贸易、电子商务、商务交流、价格学、国际商务（英语）、国际贸易理论与实务、国际市场营销等。,1、以服务国家发展，助力首都建设，依托一流专业、培养专业人才为目标的发展定位；2、以马克思主义商业经济理论为核心，以应用经济学前沿理论和先进方法为重点的课程体系；3、以国际化、差异化、协同创新、实践教育为支点的培养方式,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予经济学学士学位。,CUEB-2023-031,贸易经济
首都经济贸易大学,2023级,经济学院,贸易经济（高水平运动队）,贸易经济（高水平运动队）,贸易经济专业（高水平运动队）本科人才培养方案,020402,2023级/3经济学院/贸易经济（高水平运动队）/贸易经济1-6.docx,01_Markdown培养方案/2023级/3经济学院/贸易经济（高水平运动队）/贸易经济1-6.md,贸易经济专业坚持立德树人的教育理念，秉承服务国家发展、助力首都建设、打造一流专业的发展定位，培养坚持社会主义核心价值观，具有马克思主义经济学和现代西方经济学理论素养，具备创新精神、社会责任感和跨文化沟通能力，能够在政府部门、工商企业、中介机构胜任跨国经营、跨领域管理和跨文化沟通工作的高素质、应用性、复合型经济管理人才。,1、具有正确的人生观、世界观和价值观；2、掌握马克思主义商业经济理论和西方经济学现代研究方法，善于运用经济管理理论原理和工具方法，对内外贸、商物流领域的相关问题进行分析、判断、研究和解决；3、能够立足国际视野，观察和判断宏观经济形势，理解和洞悉中观行业动向，识别和把握跨国、跨领域、跨文化的微观商业机会，适应和胜任不同场景和文化背景中的经管实践要求；4、能够发现经济运行和市场流通中的问题，并恰当使用现代研究工具和方法，收集、处理、分析数据信息，完成商务决策和解决方案；5、能够自由地通过书面或口头方式进行跨国界、跨语言、跨文化的沟通，能够规范地写作公务文档和商务文案,政治经济学、微观经济学、宏观经济学、国际经济学、计量经济学、新制度经济学、管理学、金融学、会计学、统计学、产业经济学、商业经济学、消费经济学、中国商业史、商业政策、品牌学、零售学、物流学、商业伦理学、现代商业技术、商品学、期货贸易、电子商务、商务交流、价格学、国际商务（英语）、国际贸易理论与实务、国际市场营销等。,1、以服务国家发展，助力首都建设，依托一流专业、培养专业人才为目标的发展定位；2、以马克思主义商业经济理论为核心，以应用经济学前沿理论和先进方法为重点的课程体系；3、以国际化、差异化、协同创新、实践教育为支点的培养方式,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予经济学学士学位。,CUEB-2023-032,贸易经济（高水平运动队）
首都经济贸易大学,2023级,会计学院,会计学,会计学,会计学专业本科人才培养方案,120203K,2023级/4会计学院/会计学/会计学1-6.doc,01_Markdown培养方案/2023级/4会计学院/会计学/会计学1-6.md,本专业培养适应现代市场经济需要，具备人文精神、科学素质和诚信品质，能够践行社会主义核心价值观，具有规范使用语言文字的意识和应用能力，具备扎实的会计学基本理论和突出的定量分析能力，知识面宽广，有创新意识和向上发展能力，有较高的外语水平，能够胜任企、事业单位及政府部门会计工作的应用型、复合型专业人才。,1.政治立场坚定，恪守社会主义核心价值观，具有强烈的社会责任感和法律意识；2.掌握从事现代会计工作所必需的经济学、管理学、法学以及信息科学的基本知识，并能将所学知识用于解释会计专业领域的现象和问题，了解会计学科发展前沿，具有国际视野；3.系统掌握会计学基本理论、基本方法和基本技能，能够应用会计学基本原理、方法对本专业领域及相关领域问题进行判断、分析和研究，提出相应对策和建议，并形成专业解决方案；4.能够熟练掌握并运用现代信息技术特别是大数据云计算技术，对会计数据进行采集、存储、分析形成内外部决策有用的会计信息；5.具有较强的语言与文字表达、人际沟通、信息获取能力，能够熟练掌握并运用一门外语进行会计专业沟通与交流,经济学原理、管理学、商法学、会计学基础、中级财务会计、成本管理会计、高级财务会计、政府与非营利组织会计、会计信息系统、财务管理学、审计学、RPA与智能会计、商业智能与财会决策支持、商业伦理与会计职业道德、企业经营决策沙盘模拟、财务共享原理与实践。,1．基于需求导向的应用型、复合型培养目标定位；2．按照学科导向与能力导向相结合的原则进行课程体系的设置；3．注重学生实践创新能力的培养,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予管理学学士学位。,CUEB-2023-033,会计学
首都经济贸易大学,2023级,会计学院,会计学（国际会计-acca）,会计学（国际会计-acca）,会计学专业（国际会计—ACCA）本科人才培养方案,120203K,2023级/4会计学院/会计学（国际会计-acca）/会计学（国际会计-acca）1-6.doc,01_Markdown培养方案/2023级/4会计学院/会计学（国际会计-acca）/会计学（国际会计-acca）1-6.md,本专业培养系统掌握会计学基本理论和方法，熟悉国际和国内会计准则，具有较强的市场经济意识和社会适应能力，具有国际视野、人文精神、科学素质和诚信品质以及规范使用语言文字的意识和应用能力，能够践行社会主义核心价值观，能够在企事业单位（跨国公司与跨国机构）及政府部门胜任涉外会计工作的国际化、应用型、复合型专业人才。,1.政治立场坚定，恪守社会主义核心价值观，具有较强的社会责任感和法律意识；2.掌握经济学、管理学以及法学的基本知识；3.能够应用会计学基本原理、方法对国际经济交易活动或事项中的会计问题进行判断、分析和研究，提出相应对策和建议，并形成专业解决方案；4.能够熟练掌握并运用现代信息技术特别是大数据云计算技术，对会计数据进行采集、存储、分析形成内外部决策有用的会计信息；5.具有较强的语言与文字表达、人际沟通、信息获取能力，能够运用英语进行会计业务处理,经济学原理、管理信息系统、管理学、统计学、商法学、AB（会计师与企业）（双语）、FM（财务管理学）（英语）、FA（INT）（财务会计）（双语）、FR（INT）（财务报告）（英）、MA（管理会计）（双语）、APM（高级业绩管理）（英语）、SBR（INT）（企业战略报告）（英语）、AA（审计与认证业务）（英语）、PM（业绩管理）（英语）、AFM（高级财务管理）（英语）、SBL（企业战略领袖）（英语）、CBL（UK）（公司法与商法）（英语）、Taxation UK（税务）（英语）、会计信息系统（双语）、商业伦理与会计职业道德。,1．国际化会计人才培养定位；2．国际化培养模式与方法,本专业基本学制为四年，实行弹性修业年限制度，学生在校修业年限可以提前至三年或延长至六年，修满规定的学分准予毕业。符合学士学位授予条件者，授予管理学学士学位。,CUEB-2023-034,会计学（国际会计-acca）
