技能别名主键,标准技能名称,技能别名,技能大组,技能子组,技能性质,匹配策略,词典置信度,来源依据,备注,别名标准化键,技能编号,技能展示名称,技能一级类型,技能簇编号,技能簇名称,是否AI核心技能,同名候选技能数,别名映射状态
BM01726,数据处理,数据处理,,,,,,标准技能名称,,数据处理,JN0076,数据处理,具体专业技能,19.0,大数据工程与数据仓库,否,2,一词多义需结合语境
BM00100,数据治理,元数据管理,数字技术,数据库与数据工程,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,元数据管理,JN0338,数据治理,工具软件与技术平台,19.0,大数据工程与数据仓库,否,2,一词多义需结合语境
BM00099,数据治理,数据质量,数字技术,数据库与数据工程,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,数据质量,JN0338,数据治理,工具软件与技术平台,19.0,大数据工程与数据仓库,否,2,一词多义需结合语境
BM00105,数据清洗,数据处理,数字技术,数据库与数据工程,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,数据处理,JN0409,数据清洗,工具软件与技术平台,15.0,人工智能与数据挖掘,否,2,一词多义需结合语境
BM01746,数据质量,数据质量,,,,,,标准技能名称,,数据质量,JN0321,数据质量,工具软件与技术平台,19.0,大数据工程与数据仓库,否,2,一词多义需结合语境
BM00590,新能源,储能,化工材料能源环保,化工材料能源环保,专业技能/行业知识,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,储能,JN0692,新能源,专业知识与行业经验,9.0,工业自动化与电气控制,否,2,一词多义需结合语境
BM00592,新能源,光伏运维,化工材料能源环保,化工材料能源环保,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,光伏运维,JN0692,新能源,专业知识与行业经验,9.0,工业自动化与电气控制,否,2,一词多义需结合语境
BM00591,新能源,风电,化工材料能源环保,化工材料能源环保,专业技能/行业知识,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,风电,JN0692,新能源,专业知识与行业经验,9.0,工业自动化与电气控制,否,2,一词多义需结合语境
BM01723,方案设计,方案设计,,,,,,标准技能名称,,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,否,2,一词多义需结合语境
BM00185,时间序列,预测模型,人工智能与算法,人工智能与算法,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,预测模型,JN0584,时间序列,方法、标准与流程,15.0,人工智能与数据挖掘,否,2,一词多义需结合语境
BM01734,暖通,暖通,,,,,,标准技能名称,,暖通,JN0142,暖通,具体专业技能,16.0,建筑施工与工程造价,否,2,一词多义需结合语境
BM01813,机电安装,机电安装,,,,,,标准技能名称,,机电安装,JN0723,机电安装,专业知识与行业经验,16.0,建筑施工与工程造价,否,2,一词多义需结合语境
BM01753,法语,法语,,,,,,标准技能名称,,法语,JN0411,法语,语言能力,4.0,供应链与物流管理,否,2,一词多义需结合语境
BM00707,注册电气工程师,注册结构工程师,证书资质,证书资质,证书资质,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,证书类可单独统计；不宜与技能频次直接混合。,注册结构工程师,JN0768,注册电气工程师,证书与资质,16.0,建筑施工与工程造价,否,2,一词多义需结合语境
BM01824,注册结构工程师,注册结构工程师,,,,,,标准技能名称,,注册结构工程师,JN0769,注册结构工程师,证书与资质,16.0,建筑施工与工程造价,否,2,一词多义需结合语境
BM00433,精益生产,六西格玛,机械电子电气制造,机械电子电气制造,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,六西格玛,JN0205,精益生产,方法、标准与流程,6.0,质量管理与持续改进,否,2,一词多义需结合语境
BM01785,精算,精算,,,,,,标准技能名称,,精算,JN0524,精算,具体专业技能,14.0,金融风控、投资与合规,否,2,一词多义需结合语境
BM01822,经济师,经济师,,,,,,标准技能名称,,经济师,JN0766,经济师,证书与资质,14.0,金融风控、投资与合规,否,2,一词多义需结合语境
BM01741,经营分析,经营分析,,,,,,标准技能名称,,经营分析,JN0247,经营分析,具体专业技能,12.0,财务会计与税务管理,否,2,一词多义需结合语境
BM00504,给排水,暖通,建筑地产工程,建筑地产工程,专业技能/行业知识,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,暖通,JN0134,给排水,具体专业技能,16.0,建筑施工与工程造价,否,2,一词多义需结合语境
BM00505,给排水,机电安装,建筑地产工程,建筑地产工程,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,机电安装,JN0134,给排水,具体专业技能,16.0,建筑施工与工程造价,否,2,一词多义需结合语境
BM01781,腾讯云,腾讯云,,,,,,标准技能名称,,腾讯云,JN0519,腾讯云,工具软件与技术平台,13.0,云计算、系统运维与DevOps,否,2,一词多义需结合语境
BM01754,药品注册,药品注册,,,,,,标准技能名称,,药品注册,JN0341,药品注册,具体专业技能,18.0,医药研发与药事管理,否,2,一词多义需结合语境
BM00547,蛋白纯化,Western Blot,医药医疗生命科学,医药医疗生命科学,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,westernblot,JN0567,蛋白纯化,具体专业技能,18.0,医药研发与药事管理,否,2,一词多义需结合语境
BM01747,西班牙语,西班牙语,,,,,,标准技能名称,,西班牙语,JN0402,西班牙语,语言能力,4.0,供应链与物流管理,否,2,一词多义需结合语境
BM00408,西门子PLC,三菱PLC,机械电子电气制造,机械电子电气制造,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,三菱plc,JN0496,西门子PLC（机械电子电气制造）,方法、标准与流程,9.0,工业自动化与电气控制,否,2,一词多义需结合语境
BM01727,设备管理,设备管理,,,,,,标准技能名称,,设备管理,JN0083,设备管理,方法、标准与流程,9.0,工业自动化与电气控制,否,2,一词多义需结合语境
BM00436,设备维护,设备管理,机械电子电气制造,机械电子电气制造,专业技能/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,设备管理,JN0097,设备维护,方法、标准与流程,9.0,工业自动化与电气控制,否,2,一词多义需结合语境
BM01765,访谈,访谈,,,,,,标准技能名称,,访谈,JN0438,访谈,方法、标准与流程,1.0,表达沟通与通用办公协作,否,2,一词多义需结合语境
BM00272,诉讼,仲裁,法律合规知识产权,法律合规知识产权,专业技能/行业知识,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,仲裁,JN0716,诉讼,专业知识与行业经验,14.0,金融风控、投资与合规,否,2,一词多义需结合语境
BM00223,财务分析,经营分析,财务审计税务金融,财务审计税务金融,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,经营分析,JN0077,财务分析,具体专业技能,12.0,财务会计与税务管理,否,2,一词多义需结合语境
BM01715,资金管理,资金管理,,,,,,标准技能名称,,资金管理,JN0012,资金管理,职业职能与业务活动,12.0,财务会计与税务管理,否,2,一词多义需结合语境
BM00639,问卷设计,访谈,教育培训科研,教育培训科研,专业技能/方法流程,context,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,访谈,JN0618,问卷设计,方法、标准与流程,1.0,表达沟通与通用办公协作,否,2,一词多义需结合语境
BM00138,阿里云,AWS,数字技术,运维云与安全,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,aws,JN0327,阿里云,工具软件与技术平台,13.0,云计算、系统运维与DevOps,否,2,一词多义需结合语境
BM00139,阿里云,Azure,数字技术,运维云与安全,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,azure,JN0327,阿里云,工具软件与技术平台,13.0,云计算、系统运维与DevOps,否,2,一词多义需结合语境
BM00137,阿里云,华为云,数字技术,运维云与安全,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,华为云,JN0327,阿里云,工具软件与技术平台,13.0,云计算、系统运维与DevOps,否,2,一词多义需结合语境
BM00136,阿里云,腾讯云,数字技术,运维云与安全,专业技能/工具软件,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,腾讯云,JN0327,阿里云,工具软件与技术平台,13.0,云计算、系统运维与DevOps,否,2,一词多义需结合语境
BM01819,雅思,雅思,,,,,,标准技能名称,,雅思,JN0764,雅思,证书与资质,4.0,供应链与物流管理,否,2,一词多义需结合语境
BM01721,项目管理,项目管理,,,,,,标准技能名称,,项目管理,JN0028,项目管理,方法、标准与流程,1.0,表达沟通与通用办公协作,否,2,一词多义需结合语境
BM01761,预测模型,预测模型,,,,,,标准技能名称,,预测模型,JN0540,预测模型,方法、标准与流程,15.0,人工智能与数据挖掘,否,2,一词多义需结合语境
BM01812,风电,风电,,,,,,标准技能名称,,风电,JN0711,风电,专业知识与行业经验,9.0,工业自动化与电气控制,否,2,一词多义需结合语境
BM00382,3ds Max,3DMax,设计传媒内容,设计传媒内容,工具软件/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,3dmax,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM00381,3ds Max,3ds Max,设计传媒内容,设计传媒内容,工具软件/方法流程,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,3dsmax,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,否,1,唯一映射
BM01221,5Why,5Why,质量安全生产,质量问题分析,专业技能/方法,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,5why,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,否,1,唯一映射
BM01222,5Why,五个为什么,质量安全生产,质量问题分析,专业技能/方法,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,五个为什么,JN0458,五问分析法（5Why）,方法、标准与流程,6.0,质量管理与持续改进,否,1,唯一映射
BM00470,8D,8D,质量安全生产,质量安全生产,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,8d,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,否,1,唯一映射
BM00471,8D,8D报告,质量安全生产,质量安全生产,专业技能/行业知识,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,,8d报告,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,否,1,唯一映射
BM01409,ABB机器人,ABB机器人,机械电子电气制造,工业自动化与制造系统,专业技能/工业技术与系统,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,abb机器人,JN0637,ABB机器人（工业自动化与制造系统）,具体专业技能,9.0,工业自动化与电气控制,否,1,唯一映射
BM01410,ABB机器人,ABB机械手,机械电子电气制造,工业自动化与制造系统,专业技能/工业技术与系统,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,abb机械手,JN0637,ABB机器人（工业自动化与制造系统）,具体专业技能,9.0,工业自动化与电气控制,否,1,唯一映射
BM00249,ACCA,ACCA,证书资质,财会金融证书,职业资格证书,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,基础词典同名冲突已按唯一标准口径修正。,acca,JN0762,ACCA（财会金融证书）,证书与资质,12.0,财务会计与税务管理,否,1,唯一映射
BM00696,ACCA,国际注册会计师,证书资质,证书资质,证书资质,title_or_requirement,高,公开技能分类框架+招聘文本经验+本项目职业匹配经验,证书类可单独统计；不宜与技能频次直接混合。,国际注册会计师,JN0762,ACCA（财会金融证书）,证书与资质,12.0,财务会计与税务管理,否,1,唯一映射
BM01391,ADC,ADC,机械电子电气制造,嵌入式与硬件技术,专业技能/硬件平台与接口,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,adc,JN0502,模数转换器（ADC）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM01392,ADC,模数转换器,机械电子电气制造,嵌入式与硬件技术,专业技能/硬件平台与接口,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,模数转换器,JN0502,模数转换器（ADC）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM01805,ADC缺陷分类,ADC缺陷分类,,,,,,标准技能名称,,adc缺陷分类,JN0680,ADC缺陷分类（半导体制造信息化）,具体专业技能,11.0,嵌入式与电子硬件开发,否,1,唯一映射
BM01815,ADC药物,ADC药物,,,,,,标准技能名称,,adc药物,JN0741,ADC药物（抗体偶联药物）,专业知识与行业经验,18.0,医药研发与药事管理,否,1,唯一映射
BM01421,AGV,AGV,机械电子电气制造,工业自动化与制造系统,专业技能/工业技术与系统,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,agv,JN0440,自动导引运输车（AGV）,具体专业技能,9.0,工业自动化与电气控制,否,1,唯一映射
BM01422,AGV,自动导引车,机械电子电气制造,工业自动化与制造系统,专业技能/工业技术与系统,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,自动导引车,JN0440,自动导引运输车（AGV）,具体专业技能,9.0,工业自动化与电气控制,否,1,唯一映射
BM01030,AI工具应用,AI办公,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,ai办公,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01026,AI工具应用,AI工具,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,ai工具,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01745,AI工具应用,AI工具应用,,,,,,标准技能名称,,ai工具应用,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
BM01031,AI工具应用,AI辅助办公,人工智能与算法,人工智能工具应用,专业技能/通用数字技能,context,高,技能触发动词、分词列与全国招聘留出样本审计,经多岗位、多企业重复验证后加入；短词仍受上下文与边界规则约束。,ai辅助办公,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,是,1,唯一映射
